avtocod;enodebid;cellid;cellname;band;azimuth;hbw;power;tilt;nc_latitude;nc_longitude;height;eventtime;neighbour;latitude;longitude;altitude;h3_15;servingcellrsrp;servingcellrsrq
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:10:36.167000;1;53.20213079452515;50.10945796966553;0.0;644305104422520920;-82.0;-7.25
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:10:36.311000;1;53.201165199279785;50.110015869140625;92.0;644305104434158234;-101.0;-12.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:10:37.936000;1;53.122522830963135;49.991161823272705;992.0;644305108417948488;-59.0;-4.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:10:40.014000;1;53.202162981033325;50.112762451171875;0.0;644305104422321372;-75.0;-7.25
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:10:41.300000;1;53.20186257362366;50.10988712310791;0.0;644305104422520560;-77.0;-10.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:10:41.620000;1;53.100035190582275;49.9603271484375;1038.0;644305110887945650;-85.0;-5.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:10:44.603000;1;53.20186257362366;50.10988712310791;0.0;644305104422520560;-74.0;-10.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:10:45.100000;1;53.2023561000824;50.11042356491089;0.0;644305104422523566;-57.0;-4.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:10:46.733000;1;53.1004536151886;49.9583101272583;1038.0;644305110887843056;-85.0;-5.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:10:50.204000;1;53.202688694000244;50.11160373687744;0.0;644305104422324942;-56.0;-5.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:10:54.703000;1;53.11322093009949;49.98425245285034;989.0;644305108418797603;-55.0;-6.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:10:57.639000;1;53.1013548374176;49.95401859283447;1040.0;644305110881011491;-85.0;-6.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:10:59.830000;1;53.11213731765747;49.98324394226074;990.0;644305108419404073;-60.0;-4.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:11:01.738000;1;53.20228099822998;50.1102089881897;0.0;644305104422523021;-71.0;-5.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:11:02.764000;1;53.101773262023926;49.95200157165527;1040.0;644305110881166947;-84.0;-4.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:11:05.646000;1;53.202141523361206;50.11016607284546;61.0;644305104422523929;-80.0;-14.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:11:07.888000;1;53.10219168663025;49.949963092803955;1041.0;644305110882179338;-85.0;-4.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:11:11.130000;1;53.2032573223114;50.11284828186035;0.0;644305104422478365;-56.0;-5.25
63;333333;13;33333313;LTE1800;215;68;42.9;3;53.20194444;50.10944444;21;2025-10-13T17:11:11.717000;1;53.201669454574585;50.10939359664917;66.0;644305104422529315;-74.0;-6.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:11:11.991000;1;53.20231318473816;50.110230445861816;0.0;644305104422523076;-73.0;-5.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:11:12.100000;1;53.11059236526489;49.981205463409424;990.0;644305108419429581;-64.0;-4.75
63;333333;33;33333333;LTE2100;215;68;44.8;3;53.20194444;50.10944444;21;2025-10-13T17:11:21.625000;1;53.1089723110199;49.97689247131348;1040.0;644305108420114643;-112.0;-9.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:11:22.231000;1;53.20237755775452;50.110294818878174;0.0;644305104422523813;-72.0;-6.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:11:23.378000;1;53.10843586921692;49.978179931640625;989.0;644305108419150376;-57.0;-5.75
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:11:23.724000;1;53.20227026939392;50.11059522628784;0.0;644305104422508941;-68.0;-7.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:11:26.729000;1;53.20237755775452;50.110294818878174;0.0;644305104422523813;-70.0;-7.25
63;333333;11;33333311;LTE1800;70;68;42.9;5;53.20194444;50.10944444;21;2025-10-13T17:11:28.483000;1;53.1074595451355;49.97682809829712;989.0;644305110823253238;-58.0;-5.25
